,target,area,perimeter,length,width,aspect_ratio,rectangularity,circularity,red_mean,green_mean,blue_mean,stddev_red,stddev_green,stddev_blue,contrast,correlation,inverse_difference_moments,entropy
0,15,843937.0,4244.3842359781265,1458,1074,1.3575418994413408,1.855460774915663,21.346140224471284,167.79378020833335,207.6201265625,154.2220890625,97.44192178582165,52.92733046578091,110.9880675028213,58.7506299392752,0.9944031128005334,0.6139815026202816,6.558339207576723
0,5,306503.0,5009.320309996605,890,1008,0.8829365079365079,2.9269534066550733,81.86963901868656,20.489906770833333,28.576953125,16.027938541666668,47.64013104124217,63.939786877380826,38.95424818591109,10.379919499969184,0.99730209019457,0.8663842025484135,2.5402568253679094
0,14,469430.5,3181.05920958519,1370,503,2.7236580516898607,1.4679702320151757,21.556199895163935,194.33359479166666,207.11878541666667,193.44200833333332,102.79323234316846,81.95070003275208,103.67887228766344,48.6453251709241,0.9969943992830036,0.7886664005078191,3.8990117059891256
0,16,59014.5,3316.346766233444,1289,877,1.4697833523375143,19.155512628252378,186.36362036291118,5.211041666666667,6.939241666666667,4.3611375,28.330929523489495,35.02546343209846,26.58120675632989,4.245066477717171,0.9961412521525331,0.9645917151870981,0.7724328798893817
0,10,643990.0,3282.536472797394,1258,758,1.6596306068601583,1.4807124334228792,16.731697223940056,33.702441666666665,60.476025,24.696686979166667,49.58606863614286,84.49910000255045,37.64682396772963,16.099598965497098,0.997471237109748,0.7255989929386566,4.801006453635255
0,14,835051.0,3913.1882741451263,1364,990,1.3777777777777778,1.617098835879485,18.33785298012566,17.098640104166666,42.7736421875,15.027415104166666,37.0626989289863,55.67351418234305,33.97963296188709,108.43511704486994,0.9940524697874068,0.6166226393228547,6.631173952585459
0,15,853948.5,3956.7690143585205,1402,993,1.4118831822759315,1.6302926932947361,18.33368292465845,178.5506859375,218.13832291666668,158.89779427083334,82.5849458745503,39.30730601750846,102.36961810909236,43.55351026542079,0.9936984817380548,0.6088820424736857,6.620865246064836
0,8,493415.0,3532.1344571113586,1450,693,2.092352092352092,2.0365209813240375,25.2849504435685,22.505074479166666,35.3397421875,18.68262916666667,40.54302042891797,60.12644022648053,34.20992120843722,25.462898600235896,0.9969315386493371,0.7807886622476442,3.7310873094692663
0,13,746188.5,3725.666423201561,1228,1001,1.2267732267732268,1.6473424610537417,18.601989037584353,32.79479270833333,67.047034375,14.434436458333334,47.00659220578302,83.34102190733701,30.757746405125392,8.284654117404315,0.9990516971523163,0.717345503878072,5.324223858760344
0,14,789655.0,4121.663454771042,1461,1033,1.4143272023233302,1.9112308539805358,21.51333130847669,163.96190104166666,181.9845609375,158.54911822916668,110.44691979978909,89.64142976830625,114.2914714935002,166.1736766095089,0.9914307775803468,0.6385960807823498,6.424540239864444
